Public Food Key,Food Survey ID,Measure ID,Measure description 1,Measure description 2,Measure description 3,Measure description 4,Weight in grams,Volume in mLs,Derivation,Measure derivation description
F002929,28101,74823,frog,regular,,,15.0,0,Label Data,Based on product information available on the Cadbury website for Freddo frogs in 2018
F002934,28103,74825,frog/koala,regular,,,20.0,0,Label Data,Based on product information available for Freddo frogs and Caramello Koalas in 2013
F002937,28102,74826,bar,regular,,,50.0,0,Label Data,Based on product information available on the woolworths website in 2018
F002939,28102,74827,bar,"regular, individual",,,50.0,0,Label Data,Based on product information available on the Woolworths website in 2018
F002946,28101,74828,bar,"regular, individual",,,50.0,0,Label Data,Based on product information available on the Woolworths website in 2018
F003100,28103,74829,packet,"regular, individual",,,50.0,0,Label Data,Based on product information available on the Woolworths website in 2018
F004600,27201,74833,packet/sachet,Individual serve,,,14.0,0,Label Data,Based on product information available in 2011.
F004607,27201,74834,packet/sachet,Individual serve,,,14.0,0,Label Data,Based on product information available in 2011.
F004604,27201,74835,packet/sachet,Individual serve,,,14.0,0,Label Data,Based on product information available in 2011.
F005421,27201,74836,packet/sachet,Individual serve,,,14.0,0,Label Data,Based on product information available in 2011
F008777,27204,74837,packet/sachet,Individual serve,,,20.0,0,Label Data,Based on the serve size information on product label available in 2011
F004380,27102,74838,packet/sachet,Individual serve,,,14.0,0,Label Data,Based on product information available in 2011
F008969,27101,74840,sachet/packet,single serve,,,3.0,0,Label Data,Mean of 2 brands
F008973,27101,74841,sachet/packet,single serve,,,3.0,0,Imputed,"From 12A10073 sugar, white, granulated or lump"
F004615,27301,74842,tub,individual serve,,,125.0,0,Label Data,Based on products information available in 2013
F005213,28401,74843,piece,,,all brands,15.0,0,Label Data,Based on product information available in 2011. Average of 6 brands
F005215,28103,74832,log,,,all brands,40.0,0,Imputed,Based on label data for Capricorn Licorice Choc Logs available in 2017.
F000144,24402,74844,artichoke,medium,,,133.0,0,Analysed,"AUSNUT 2007 record 13A11017 Artichoke, globe, raw"
F000142,24402,74845,heart/item,,,,27.0,0,Imputed,"AUSNUT 2007 record 13A11018 Artichoke, globe, boiled"
F000141,24402,74846,heart/item,,,,40.0,0,Imputed,"From NUTTAB 2010 record 13A11510 Artichoke heart, canned in brine, drained"
F000155,24402,74847,spear,,,,16.0,0,Imputed,"AUSNUT 2007 record 13A11021 Asparagus, raw"
F000151,24402,74848,spear,,,,11.0,0,Imputed,"AUSNUT 2007 record 13A11022 Asparagus, boiled"
F000149,24402,74849,spear,,,,13.0,0,Imputed,"AUSNUT 2007 record 13A11023 Asparagus, canned"
F000162,24705,74850,avocado,medium,,,159.0,0,Analysed,Supermarket search undertaken by FSANZ in 2011. Assumes 72% edible portion.
F000396,24403,74851,bunch,leaves only,,,40.0,0,Analysed,Manually weighed by FSANZ in 2013.
F001015,24302,74852,beetroot,small/medium,,,82.0,0,Imputed,"From AUSNUT 2007 record 13A11038 Beetroot, fresh, peeled, raw"
F001013,24302,74853,beetroot,medium,,,67.0,0,Imputed,Calculated from the raw weight assuming -18% weight change factor
F001014,24302,74854,beetroot,medium,,,76.0,0,Imputed,Calculated from the raw weight assuming -7% weight change factor
F001010,24302,74856,slice,medium,,,19.0,0,Analysed,Manual weighing of slices of canned beetroot by FSANZ in 2013.
F001301,24201,74857,bok choy,medium,,,120.0,0,Analysed,Supermarket search undertaken by FSANZ in 2012. Assumes 80% edible portion.
F001300,24201,74858,bok choy,medium,,,84.0,0,Estimated,Calculated from raw weight assuming -30% weight change factor
F001302,24201,74859,bok choy,medium,,,115.0,0,Estimated,Calculated from raw weight assuming -4% weight change factor
F001905,24202,74860,floret/piece,medium,,,20.0,0,Analysed,Manual weighing of medium fresh broccoli flowerets by FSANZ in 2013
F001904,24202,74861,floret/piece,medium,,,19.2,0,Estimated,Calculated from raw weight assuming -4% weight change factor
F001900,24202,74862,floret/piece,medium,,,19.2,0,Estimated,Calculated from raw weight assuming -4% weight change factor
F001899,24202,74863,floret/piece,medium,,,16.4,0,Estimated,Calculated from raw weight assuming -18% weight change factor
F001909,24202,74864,floret/stalk,medium,,,29.0,0,Analysed,Manual weighing by FSANZ in 2013.
F001908,24202,74865,floret/stalk,medium,,,19.1,0,Estimated,Calculated from raw weight assuming -4% weight change factor
F001914,24201,74866,brussel sprout,medium,,,19.0,0,Imputed,"From AUSNUT 2007 record 13A11043 Brussel sprout, raw"
F001913,24201,74867,brussel sprout,medium,,,21.0,0,Imputed,"From AUSNUT 2007 record 13A11044 Brussel sprout, boiled"
F002239,24705,74868,capsicum,medium,,,278.0,0,Analysed,FSANZ 2011. Student research project.
F002238,24705,74869,capsicum,medium,,,250.0,0,Estimated,Calculated from raw weight assuming -10% weight change factor
F002247,24705,74870,capsicum,medium,,,244.0,0,Estimated,Calculated from raw weight assuming -10% weight change factor
F002246,24705,74871,capsicum,medium,,,271.0,0,Analysed,FSANZ 2011. Student research project.
F002266,24301,74872,baby carrot,medium,,,18.0,0,Imputed,"From NUTTAB 2010 record 13A11424 Carrot, baby, raw"
F002265,24301,74873,baby carrot,medium,,,16.7,0,Estimated,Calculated from raw weight assuming -7% weight change factor
F002263,24301,74874,baby carrot,all sizes,,,16.6,0,Estimated,Calculated from raw weight assuming -8% weight change factor
F002276,24301,74875,carrot,small,,,74.0,0,Analysed,Supermarket search undertaken by FSANZ in 2011
F002276,24301,74876,carrot,medium,,,129.0,0,Analysed,FSANZ 2011. Student research project.
F002274,24301,74877,carrot,medium,,,106.0,0,Estimated,Calculated from raw weight assuming -18% weight change factor
F002275,24301,74878,carrot,medium,,,120.0,0,Estimated,Calculated from raw weight assuming -7% weight change factor
F002378,24202,74879,floret,medium,,,36.0,0,Analysed,Manual weighing of medium fresh cauliflower flowerets by FSANZ in 2013
F002377,24202,74880,floret,medium,,,35.0,0,Estimated,Calculated from raw weight assuming -4% weight change factor
F002384,24302,74881,celeriac,medium,,,254.0,0,Analysed,Manually weighed by FSANZ in 2012.
F002390,24402,74882,stalk,medium,,,40.0,0,Imputed,AUSNUT 2007 record 13A11078 Celery raw
F002389,24402,74883,stalk,medium,,,36.0,0,Imputed,"AUSNUT 2007 record 13A11079 Celery, stir-fried without oil"
F002896,24705,74884,chilli,medium,,,15.0,0,Analysed,Supermarket scan undertaken by FSANZ in 2011. Edible portion 95%
F002894,24705,74885,chilli,medium,,,12.0,0,Imputed,"AUSNUT 2007 record 13A11085 Chilli (chili), red, stir-fried without oil"
F002901,24705,74886,chilli,medium,,,15.0,0,Analysed,Supermarket scan undertaken by FSANZ in 2011. Edible portion 95%
F002900,24705,74887,chilli,medium,,,12.0,0,Imputed,"AUSNUT 2007 record 13A11085 Chilli (chili), red, stir-fried without oil"
F002949,24705,74888,choko,medium,,,168.0,0,Imputed,"AUSNUT 2007 record 13A11087 Choko, peeled, raw"
F002948,24705,74889,choko,medium,,,141.0,0,Estimated,Calculated from raw weight assuming -16% weight change factor
F003192,24403,74890,bunch,leaves only,,,40.0,0,Analysed,Manually weighed by FSANZ in 2013.
F003209,24704,74891,ear (corn),medium,,,163.0,0,Analysed,Supermarket search undertaken by FSANZ in 2011. Assumes 52% edible portion.
F003200,24704,74893,cobette,,,,52.0,0,Estimated,Assumes 1 cob = 3 cobettes.
F003200,24704,74892,ear (corn),medium,,,156.0,0,Estimated,Calculated from raw weight assuming -4% weight change factor
F003321,24705,74894,cucumber,medium,,,174.0,0,Analysed,FSANZ 2011. Student research project. Edible portion 90%
F003324,24705,74895,cucumber,medium,,,291.0,0,Imputed,"From NUTTAB 2010 record 13A11436 Cucumber, telegraph"
F003761,24705,74896,eggplant,medium,,,459.0,0,Estimated,Assumes mid point between small and large eggplant. Assumes 90% edible portion.
F003760,24705,74897,eggplant,medium,,,427.0,0,Estimated,Calculated from raw weight assuming -7% weight change factor
F003759,24705,74898,eggplant,medium,,,330.0,0,Estimated,Calculated from raw weight assuming -28% weight change factor. Mid-point between weight change factor for baked v grilled eggplant
F004206,23202,74899,whole,regular,,,25.0,0,Imputed,"From AUSNUT 2007 record 10B10052 Gherkin, pickled, commercial"
F005164,24802,74900,leek,medium,,,195.0,0,Estimated,Assumes mid point between small and large leek. Assumes 65% edible portion.
F005163,24802,74901,leek,medium,,,162.0,0,Estimated,Calculated from raw weight assuming -17% weight change factor
F005162,24802,74902,leek,medium,,,176.0,0,Estimated,Calculated from raw weight assuming -10% weight change factor
F005192,24401,74903,head (lettuce),medium,,,570.0,0,Analysed,FSANZ 2011. Student research project.
F005700,24403,74904,bunch,leaves only,,,40.0,0,Analysed,Manually weighed by FSANZ in 2013.
F005946,24703,74905,mushroom,medium,,,35.0,0,Analysed,FSANZ student research project. Australian Mushroom Growers Association.
F005945,24703,74906,mushroom,medium,,,18.6,0,Estimated,Calculated from raw weight assuming -47% weight change factor
F005949,24703,74907,mushroom,medium,,,35.0,0,Analysed,Australian Mushroom Growers Association.
F005948,24703,74908,mushroom,medium,,,18.6,0,Estimated,Calculated from raw weight assuming -47% weight change factor
F006194,24705,74909,okra,,,,10.6,0,Borrowed,USDA release 25 record Okra cooked
F006198,23202,74910,whole,medium,,,4.0,0,Imputed,"From AUSNUT 2007 record 10B10054 Olive, green or black, drained"
F006225,24802,74911,onion,medium,,,142.0,0,Analysed,Supermarket search undertaken by FSANZ in 2011.
F006243,24802,74912,onion,medium,,,104.0,0,Estimated,Assumes the mid-point between small and large. Assumes 80% edible portion.
F006250,24802,74913,spring onion,medium,,,15.0,0,Imputed,"From AUSNUT 2007 record 13A11121 Onion, spring, raw"
F006249,24802,74914,spring onion,medium,,,9.0,0,Estimated,Calculated from raw weight assuming -38% weight change factor
F006328,24302,74915,parsnip,medium,,,72.0,0,Imputed,Based on size of the small and medium measures created for AUSNUT 1999
F006326,24302,74916,parsnip,medium,,,67.0,0,Estimated,Based on size of the small and medium measures created for AUSNUT 1999
F006327,24302,74917,parsnip,medium,,,67.0,0,Estimated,Based on size of the small and medium measures created for AUSNUT 1999
F007235,24102,74918,medium,,,,117.0,0,Label Data,Based on product information from Red rooster website available in 2018
F007236,24102,74920,medium,,,,175.0,0,Label Data,Based on product information from Nandos (2010) and Oporto (2018).
F007238,24102,74922,takeaway medium/regular,,,,200.0,0,Analysed,Manual weighing of medium chip serves undertaken by FSANZ in 2012.
F007242,24102,74924,takeaway medium/regular,,,,200.0,0,Analysed,Manual weighing of medium chip serves undertaken by FSANZ in 2012.
F007247,24101,74925,potato,medium,,,175.0,0,Analysed,Supermarket search undertaken by FSANZ in 2011. Assumes 85% edible portion
F007244,24101,74926,potato,medium,,,116.0,0,Estimated,Calculated from raw weight assuming -34% weight change factor
F007245,24101,74927,potato,medium,,,172.0,0,Estimated,Calculated from raw weight assuming -2% weight change factor
F007254,24101,74928,potato,medium,,,137.0,0,Analysed,Supermarket search undertaken by FSANZ in 2011. Assumes 85% edible portion
F007250,24101,74929,potato,medium,,,91.0,0,Estimated,Calculated from raw weight assuming -34% weight change factor
F007252,24101,74930,potato,medium,,,134.0,0,Estimated,Calculated from raw weight assuming -2% weight change factor
F007308,24101,74933,potato,medium,,,69.0,0,Analysed,Supermarket search undertaken by FSANZ in 2011. Assumes 85% edible portion
F007305,24101,74934,potato,medium,,,46.0,0,Estimated,Calculated from raw weight assuming -34% weight change factor
F007306,24101,74935,potato,medium,,,68.0,0,Estimated,Calculated from raw weight assuming -2% weight change factor
F007325,24101,74936,potato,medium,,,175.0,0,Analysed,Supermarket search undertaken by FSANZ in 2011. Assumes 85% edible portion
F007314,24101,74937,potato,medium,,,116.0,0,Estimated,Calculated from raw weight assuming -34% weight change factor
F007320,24101,74938,potato,medium,,,172.0,0,Estimated,Calculated from raw weight assuming -2% weight change factor
F007361,24101,74939,potato,medium,,,240.0,0,Analysed,Supermarket search undertaken by FSANZ in 2011. Assumes 85% edible portion
F007358,24101,74940,potato,medium,,,158.0,0,Estimated,Calculated from raw weight assuming -34% weight change factor
F007359,24101,74941,potato,medium,,,235.0,0,Estimated,Calculated from raw weight assuming -2% weight change factor
F007368,24101,74942,potato,medium,,,240.0,0,Analysed,Supermarket search undertaken by FSANZ in 2011. Assumes 85% edible portion
F007364,24101,74943,potato,medium,,,158.0,0,Estimated,Calculated from raw weight assuming -34% weight change factor
F007366,24101,74944,potato,medium,,,235.0,0,Estimated,Calculated from raw weight assuming -2% weight change factor
F007386,24101,74945,potato,medium,,,245.0,0,Analysed,Supermarket search undertaken by FSANZ in 2011. Assumes 85% edible portion
F007383,24101,74946,potato,medium,,,116.0,0,Estimated,Calculated from raw weight assuming -34% weight change factor
F007384,24103,74947,potato,medium,,,277.0,0,Estimated,Calculated from raw weight assuming -2% weight change factor
F007269,24102,74931,medium,,,,104.0,0,Label Data,Based on product information from McDonalds website available in 2018
F007606,24302,74948,radish,medium,,,20.0,0,Imputed,"From AUSNUT 2007 record 13A11236 Radish, white skinned, peeled, raw"
F007608,24302,74949,radish,medium,,,20.0,0,Imputed,"From AUSNUT 2007 record 13A11236 Radish, white skinned, peeled, raw"
F008227,24802,74950,shallot,medium,,,5.5,0,Imputed,"From AUSNUT 2007 record 13A11185 Shallot, raw"
F008226,24802,74951,shallot,medium,,,6.0,0,Imputed,"From AUSNUT 2007 record 13A11303 Shallot, stir-fried"
F008373,24501,74952,snow pea,medium,,,3.3,0,Imputed,"From AUSNUT 2007 record 13A11188 Snow pea, raw"
F008372,24501,74953,snow pea,medium,,,4.0,0,Imputed,"From AUSNUT 2007 record 13A11190 Snow pea, stir-fried"
F008371,24501,74954,snow pea,medium,,,4.0,0,Imputed,"From AUSNUT 2007 record 13A11190 Snow pea, stir-fried"
F008811,24702,74955,squash,medium,,,57.0,0,Estimated,Assumes the mid-point between small and large. Assumes 100% edible portion.
F008810,24702,74956,squash,medium,,,48.0,0,Estimated,Calculated from raw weight assuming -16% weight change factor
F009021,24302,74957,swede,medium,,,276.0,0,Estimated,Assumes the mid-point between small and large. Assumes 89% edible portion.
F009020,24302,74958,swede,medium,,,257.0,0,Estimated,Calculated from raw weight assuming -7% weight change factor
F009033,24302,74959,sweet potato,medium,,,344.0,0,Estimated,Calculated from raw weight assuming -18% weight change factor
F009034,24302,74960,sweet potato,medium,,,390.0,0,Estimated,Calculated from raw weight assuming -7% weight change factor
F009190,24601,74961,tomato,medium,,,8.0,0,Imputed,"AUSNUT 2007 record 13A11216 Tomato, cherry"
F009193,24601,74962,tomato,medium,,,152.0,0,Analysed,FSANZ 2011. Student research project.
F009211,24601,74963,tomato,medium,,,124.0,0,Analysed,"Manual weighing of 5 medium, trimmed roma tomatoes by FSANZ in 2012"
F009340,24302,74964,turnip,regular,,,122.0,0,Imputed,"From AUSNUT 2007 record 13A11225 Turnip, white, peeled, raw"
F009339,24302,74965,turnip,regular,,,116.0,0,Imputed,"From AUSNUT 2007 record 13A11226 Turnip, white, peeled, boiled"
F009775,24702,74966,zucchini,medium,,,195.0,0,Analysed,Supermarket search undertaken by FSANZ in 2011. Assumes 93% edible portion.
F009774,24702,74967,zucchini,medium,,,137.0,0,Estimated,Calculated from raw weight assuming -30% weight change factor
F009773,24702,74968,zucchini,medium,,,164.0,0,Estimated,Calculated from raw weight assuming -16% weight change factor
F009766,24702,74969,zucchini,medium,,,195.0,0,Imputed,From green zucchini
F009765,24702,74970,zucchini,medium,,,195.0,0,Imputed,From green zucchini
